name,state,address,notes,display_order,status
"AMARA MEDICARE LTD - SANGOTEDO (EYE , DENTAL, ENT)",Lagos,"FF01 New Era Mall, Cardinal Okogie Road (also known as ShopRite or Monastery Road) Sangotedo , AJAH",City/Town: Ajah | LGA: Ibeju - Lekki | Category: Tier 1 | Service: ENT,0,active
ARUBAH FAMILY MEDICAL CENTRE,Lagos,"9, Kudirat Salami Street, Agungi, Lekki",City/Town: Ajah | LGA: Ibeju - Lekki | Category: Tier 5 | Service: General,0,active
BUDO SPECIALIST HOSPITAL,Lagos,KM 25 LEKKI EPE EXPRESSWAY BY PENNINSULAR RESORT AJAH LAGOS,City/Town: Ajah | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
CEDARCARE HOSPITAL,Lagos,OGOMBO ROAD AJAH,City/Town: Ajah | LGA: Eti-Osa | Category: Tier 2 | Service: General,0,active
DOVE HOSPITAL AND HEALTHCARE SERVICES LTD,Lagos,"18 Ado Badore Road, Opposite car Wash Adewale Bus stop, Ajah-Lagos",City/Town: Ajah | LGA: Eti-Osa | Category: Tier 2 | Service: General,0,active
LENNOX HOSPITAL,Lagos,"3, FLOODGATE STREET, AVERA ESTATE, BESIDE ENYO PETROL STATION, OLOKONLA, AJAH",City/Town: Ajah | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
THE ROYAL INFIRMARY,Lagos,"THE ROYAL INFIRMARY ALONG BADORE ROAD, AJAH LAGOS LAGOS",City/Town: Ajah | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
UTMOST CARE HOSPITAL,Lagos,5 GOLF ROAD LAKOWE LAKES IBEJU LEKKI,City/Town: Ajah | LGA: Ibeju/Lekki | Category: Tier 1 | Service: General,0,active
CAREMAX HOSPITAL,Lagos,"12,Asajon street sangotedo",City/Town: Ajah | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
ST EDWARD SPECIALIST AND CARDIAC CENTRE,Lagos,"4, Dolapo Oshinaike Street, S-Forte Estate, Off Addo Road, Ajah",City/Town: Ajah | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
JLT SPECISLIST CLINIC AND SKIN CENTRE,Lagos,"1ST FLOOR, 213, IGBOSERE ROAD, LAGOS ISLAND",City/Town: Igbosere | LGA: LagosIsland | Category: Tier 1 | Service: DERMATOLOGY,0,active
QUEENSWAY HOSPITAL,Lagos,"KM 15, LEKKI EPE EXPRESSWAY, IKOTA",City/Town: Ikota | LGA: Ibeju - Lekki | Category: Tier 1 | Service: General,0,active
"AMARA MEDICARE LTD - IKOYI (EYE , DENTAL, ENT)",Lagos,"202 Awolowo Road, (at intersection of Raymond Njoku and Awolowo Road)",City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 1 | Service: ENT,0,active
BEST CARE HOSPITAL,Lagos,"2a, keffi street, Ikoyi",City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
CITIZEN MEDICAL CENTER - IKOYI LAGOS,Lagos,"86, NORMAN WILLIAMS, STREET IKOYI, LAGOS",City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 2 | Service: General,0,active
DIVINE MEDICAL CENTER,Lagos,"53, NORMAN WILLIAMS ST`EET, OFF KEFFI IKOYI",City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 2 | Service: General,0,active
LAGOON HOSPITALS IKOYI,Lagos,17B Bourdillon Road Ikoyi,City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 5 | Service: General,0,active
ST IVES SPECIALIST HOSPITAL - IKOYI,Lagos,NO 6 MAITAMA SULE STREET FALOMO IKOYI,City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
"AMARA MEDICARE LTD - LEKKI (EYE , DENTAL, ENT)",Lagos,Plot 76B Eleganza Gardens (opposite VGC) LEKKI LAGOS,City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 5 | Service: ENT,0,active
CHOICE OF KINGS SPECIALIST HOSPITAL,Lagos,2 Monsurat Olayinka way Lekki scheme II,City/Town: Lekki | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
EHA CLINICS LIMITED LAGOS,Lagos,"NOVARE MALL, SANGOTEDO AJAH",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 3 | Service: General,0,active
